institution_name,study_period_start_date,credential,program_length, total_estimated_cost ,student_status,Comments,program_length_type
Camosun College,2016-09-06,University Transfer,2,, Attending ,,
Kwantlen Polytechnic University,1770-07-07,Farrier Program,,, Completed  ,,
Kwantlen Polytechnic University,2018-01-01,BA Arts,4,23500, Attending ,,
Kwantlen Polytechnic University,1770-07-07,Arts,,, Hiatus ,,
Vancouver Island University,1770-07-07,Undeclared,,,,,
Capilano University,2020-05-01,Adult Basic Education,2,450,,,
Capilano University,1998-03-06,,,,,,
College of New Caledonia,1770-07-07,University Studies,,, Hiatus , Other ,
Capilano University,1770-07-07,Business Administration,,, Hiatus ,,
Camosun College,2017-09-05,University Transfer,2,, Hiatus , Last attended 12/19 ,
Nicola Valley Institute of Technology,2018-09-04,Access to Practical Nursing,2,10782, Completed  ,,
Camosun College,2018-09-04,University Transfer,2,, Attending ,,
University of British Columbia,2018-09-01,Bachelor of Arts,4,27000, Attending ,,
Douglas College,1770-07-07,Associate of Science,,, Completed  ,,
Capilano University,2018-09-06,,,,,,
Simon Fraser University,2018-09-04,Bachelor in Science in Computing Science,4,25664, Attending ,,
Camosun College,2018-09-04,Bachelor of Science in Nursing,4,, Attending ,,
University of Victoria,1770-07-07,Bachelor of Science in Nursing,2,, Attending ,,
Simon Fraser University,1770-07-07,Bachelor of Environment,,, Completed  ,,
University of the Fraser Valley,2017-09-01,Criminal Justice,4,23765, Attending ,,
Douglas College,2017-09-08,Associate of Arts,2,12000, Hiatus ,,
Douglas College,1770-07-07,Associate of Arts,,, Hiatus ,,
University of the Fraser Valley,1770-07-07,Construction Electrician Diploma,,,,,
Capilano University,1770-07-07,Bachelor of Business Admistration,4,, Hiatus ,,
Langara College,1770-07-07,Associate of Arts,,, Hiatus ,,
Camosun College,1770-07-07,Mechenical Engineering Bridge to Uvic,,, Hiatus ,,
University of Victoria,1770-07-07,Bachelor of Science,,, Attending ,,
Camosun College,2014-01-06,University Transfer,2,, Attending ,,
Vancouver Island University,1770-07-07,Bachelor of Arts,,,,,
Thompson Rivers University,2018-09-22,Bachelor of Commerce,4,24000, Hiatus ,,
University of British Columbia,1770-07-07,Bachelor of Real Estate,,,,,
Vancouver Community College,2019-01-01,,,, Never Attended ,,
Selkirk College,2021-01-04,Associate of Arts,2,, Attending ,,
Douglas College,2020-09-08,Bachelor of Arts in Child and Youth Care,4,24000, Hiatus ,,
Capilano University,1770-07-07,Legal Administrative Assistant,,, Hiatus ,,
Coast Mountain College,2020-09-08,Heavy Mechanical Foundations,1,3562,,,
Coast Mountain College,2021-11-11,Professional Cook Level 2,,,,,
Camosun College,2019-09-03,Bachelor of Science Nursing,4,, Hiatus ,,
University of Victoria,2022-01-01,Bachelor of Science in Nursing,4,,,,
College of New Caledonia,1770-07-07,Carpentry Foundations,,, Hiatus ,,
Camosun College,2019-09-03,University Transfer,2,, Attending ,,
Vancouver Community College,1770-07-07,Hair Design,,,,,
Camosun College,2017-01-09,University Transfer,2,, Attending ,,
Kwantlen Polytechnic University,1770-07-07,Welding Foundation,,, Completed  ,,
Vancouver Island University,1770-07-07,Professional Cook Level1,,, Completed  ,,
Kwantlen Polytechnic University,1770-07-07,Science and Horticulture,,, Hiatus ,,
University of the Fraser Valley,1770-07-07,Qualifying Studies,1,8005, Attending ,,
Camosun College,2016-09-06,Hospitality Management,2,, Hiatus , Last attended 04/20 ,
University of Victoria,1770-07-07,Bachelor of Commerce,,, Attending ,,
University of the Fraser Valley,1770-07-07,Medical Office Assistant,,,,,
Kwantlen Polytechnic University,2018-01-01,Arts,4,23500, Completed  ,,
Vancouver Island University,2019-09-03,Bachelor of Science,4,25000, Attending ,,
College of New Caledonia,2021-08-23,Office Assistant Certificate,1,, Attending ,,
Nicola Valley Institute of Technology,1770-07-07,Executive Assistance Diploma,,, Completed  ,,
Kwantlen Polytechnic University,1770-07-07,Health Unit Coordinator,,, Completed  ,,
University of the Fraser Valley,2018-09-01,Health Care Assistant,1,7810, Hiatus ,,
College of New Caledonia,1770-07-07,Carpenter,,, Hiatus ,,
BCIT,2016-08-22,Carpentry Apprentice,1,4800, Completed  ,,
Vancouver Island University,2018-09-04,Social Services Diploma,2,11000, Attending ,,
BCIT,2019-02-04,Bachelor of Science in Nursing,3,24156, Attending ,,
Thompson Rivers University,1770-07-07,Bachelor of Arts,,,,,
College of New Caledonia,1770-07-07,Associate of Arts in Psychology,,, Attending ,,
Langara College,2014-01-02,Kinesiology Diploma,2,9031, Hiatus ,,
University of the Fraser Valley,1770-07-07,Qualifying Studies,,,,,
Douglas College,2019-01-01,Associate of Arts,2,12000, Hiatus ,,
BCIT,1770-07-07,Science and Horticulture,,, Never Attended ,,
Douglas College,1770-07-07,Criminilogy,,, Hiatus ,,
Kwantlen Polytechnic University,2018-01-05,Bachelor of Arts in Psychology,4,23500, Hiatus ,,
University of Victoria,1770-07-07,Bachelor of Commerce,,, Attending ,,
University of the Fraser Valley,2017-09-01,Social Service Worker Diploma,2,14272, Completed  ,,
Langara College,2018-09-04,Associate of Arts: Arts (General),2,9335, Hiatus ,,
Simon Fraser University,2018-09-01,Bachelor of Arts,4,25664, Completed  ," Graduated Dec 31, 2020 ",
Douglas College,2019-09-01,Bachelor of Arts in Child & Youth Care,4,24000, Hiatus ,,
Langara College,2018-05-07,Associate of Arts,2,9775, Attending , Reported as completed ,
Simon Fraser University,1770-07-07,Bachelor of Arts,,,,,
University of the Fraser Valley,2019-09-01,Bachelor of Arts,4,2762.95, Hiatus ,,
College of New Caledonia,2019-01-06,,,,,,
BCIT,2019-01-02,General Studies,1,6140, Hiatus ,,
Capilano University,2022-09-01,University One indigenous transition,1,7753,, Transfer from Selkirk ,
University of British Columbia Okanagan,2017-09-05,Bachelor of Arts,4,27000, Attending ,,
Kwantlen Polytechnic University,1770-07-07,College Prep,,, Hiatus ,,
Langara College,2021-05-01,Certificate: Foundation in Entertainment Arts,1,20000, Attending ,,
College of New Caledonia,2021-09-07,Heavy Mechanical Trades,1,4317,,,
College of New Caledonia,2020-09-01,Early Childhood Care & Learning,1,5150,,,
College of New Caledonia,2018-09-04,,,,,,
Vancouver Island University,2018-09-04,Bachelor of Arts in Child and Youth Care,4,25000, Attending ,,
Okanagan College,1770-07-07,Associate of Arts,2,8934, Completed  ,,
University of British Columbia-Okanagan,2018-09-05,Bachelor of Arts,4,27000, Attending ,,
College of New Caledonia,1770-07-07,Job Education Training,,, Hiatus ,,
University of the Fraser Valley,2017-09-01,B. of Arts in Crim Justice,4,23765, Attending ,,
Vancouver Island University,2018-09-04,Bachelor of Arts-Digital Media,4,25000, Attending ,,
University of the Fraser Valley,1770-07-07,Qualifying Studies,,,,,
North Island College,2021-01-01,Animal Care Assistant,,, Attending ,,
Simon Fraser University,2018-09-04,Bachelor of Arts,4,26160, Hiatus ,,
Vancouver Island University,2018-09-04,Exploratory Studies,2,25000, Attending , Student complete Fine Arts diploma. registered in EXPO with expressed intention to pursue degree.  ,
University of the Fraser Valley,1770-07-07,Bachelor of Social Work,4,21000, Completed  ,,
College of New Caledonia,1770-07-07,,,,,,
University of the Fraser Valley,1770-07-07,Qualifying Studies,,,,,
Camosun College,2018-09-04,University Transfer,2,, Completed  ,,
BCIT,1770-07-07,Electrical Apprentice,,, Completed  ,,
BCIT,2018-09-08,Business Management Diploma,2,12750, Hiatus , Terminated from program ,
University of the Fraser Valley,1770-07-07,Qualifying Studies,,,,,
Nicola Valley Institute of Technology,2018-09-04,Associate of Arts in Criminology,2,5465, Completed  ,,
Vancouver Island University,2018-09-04,Bachelor of Arts,4,25000, Hiatus , Last attended F'20 ,
University of British Columbia,2017-09-05,Bachelor of Science,4,30000, Attending ,,
Simon Fraser University,2018-09-04,Bachelor of Arts,4,25664, Hiatus , Transferred schools ,
University of British Columbia,2021-09-07,Bachelor of Arts,4,27000, Attending ,,
College of New Caledonia,1770-07-07,Applied Business Technology,,, Completed  ,,
College of New Caledonia,1770-07-07,,,,,,
Camosun College,2018-10-01,Welding Foundation,1,, Never Attended , Dropped prior to course start ,
Langara College,2019-01-02,Bachelor of Business Administration: Business Management,4,24397, Attending ,,
College of New Caledonia,1770-07-07,Business Management Diploma,,, Hiatus ,,
Selkirk College,2020-10-19, Education Assistant & Community Support/Plant Operator Certificate,1,4866, Attending , Completed Plant Operator-now taking Comm.Support.Worker ,
Thompson Rivers University,2018-09-01,Bachelor of Arts,4,24000, Hiatus ,,
University of British Columbia,2019-09-03,Bachelor of Arts,4,30887, Hiatus ,,
University of British Columbia,2018-09-01,Bachelor of Social Work,2,11000, Completed  ,,
University of Victoria,1770-07-07,Bachelor of Science,,, Attending ,,
University of British Columbia,2017-09-06,Bachelor of Kinesiology,4,27000, Attending ,,
College of New Caledonia,1770-07-07,Medical Lab Tech,,, Completed  ,,
University of the Fraser Valley,2017-09-01,Bachelor of Arts in Criminal Justice,4,23765, Hiatus ,,
Douglas College,2020-05-01,Bachelor of Physical Education & Coaching/General Studies,2,12000, Hiatus , Transfer ,
University of British Columbia,2021-09-01,Bachelor of Education,4,44101, Attending ,,
Vancouver Island University,2018-09-04,Fine Arts (Theatre),2,11000, Attending ,,
Nicola Valley Institute of Technology,2019-01-02,Associate of Arts General ,2,5600, Attending ,,
College of New Caledonia,1770-07-07,Medical Office Assistant,,, Hiatus ,,
College of New Caledonia,1770-07-07,,,,,,
College of New Caledonia,2021-01-01,,,,,,
Vancouver Island University,2018-09-04,Early Childhood Education & Care,2,12000, Attending ,,
University of British Columbia Okanagan,2018-09-05,Access Studies,,, Hiatus ,,
College of New Caledonia,1770-07-07,Social Service Worker,,, Hiatus ,,
Capilano University,1770-07-07,Associate of Arts and Sciences ,2,11785.42, Hiatus ,,
University of the Fraser Valley,1770-07-07,Community Support Worker,,,,,
BCIT,1770-07-07,Business Operations Management,,, Completed  ,,
Vancouver Island University,2014-09-02,Practical Nursing Diploma,2,15000, Completed  ,,
University of British Columbia Okanagan,2018-09-05,Bachelor of Arts,4,27000, Attending ,,
Justice Insitute of British Columbia,2017-09-11,Law Enforcement Studies Diploma & Bachelor of Law Enforcement ,4,25500, Attending , Completed Diploma. Pursuing Bachelor Degree.Program Application Fee ,
BCIT,2019-01-02,Diploma: Electrical and Computer Engineering Tech,2,14936, Attending ,,
BCIT,2021-09-08,TV and Video Production,2,13462, Completed  ,,
College of the Rockies,2019-09-03,,,,,,
Okanagan College,2020-02-04,Welder Foundation/Carpenter and Joiner Foundation,1,, Completed  , Program paused due to COVID.  Student has not returned. Welder Foundation credential rec'd. ,
Vancouver Island University,2019-09-01,Professional Cook Level 1 & 2,1,8200, Hiatus , Withdrew S20 ,
College of New Caledonia,1770-07-07,Welding Level B,,, Hiatus ,,
University of British Columbia Okanagan,2015-09-08,Bachelor of Arts,4,27000, Attending ,,
Justice Insitute of British Columbia,2018-08-13,Primary Care Paramedic Program,,, Hiatus , Required to withdraw ,
Emily Carr University of Art & Design,2018-05-01,,,, Never Attended ,,
Langara College,2014-09-02,Associate of Arts: Pyschology,2,9211, Attending ,,
Native Education College,2018-09-04,Health Care Assistant Program,1,7301, Hiatus ,,
Simon Fraser University,2018-09-01,Bachelor of Arts,4,, Hiatus , Last term Fall '19. ,
Langara College,1770-07-07,Arts and Science Diploma,,, Hiatus ,,
University of British Columbia,2016-09-06,Bachelor of Arts,4,14000, Hiatus ,,
Nicola Valley Institute of Technology,2018-09-04,Associate of Arts,2,5600, Hiatus ," Last attended date: Dec 22, 2020 ",
Vancouver Island University,2018-09-04,Exploratory Studies,4,25000, Hiatus , Not enrolled since Fall 2018 ,
Nicola Valley Institute of Technology,2018-09-04,Associate of Arts in Criminology,2,5600, Hiatus ," Last attended Dec 18, 2018 ",
Langara College,2018-01-01,Professional Photography Diploma,2,18062, Attending ,,
Thompson Rivers University,2019-06-02,Undeclared,4,24100, Hiatus ,,
University of the Fraser Valley,1770-07-07,Health Care Assistant,,,,,
Langara College,2018-05-07,General Education Diploma,,, Hiatus ,,
Vancouver Island University,2018-09-04,Adult Basic Education,,, Hiatus , Last attended Jan 2019 ,
Justice Institute of British Columbia,2021-11-01,Basic Security Training & Assessment,1,372, Attending ,,
Kwantlen Polytechnic University,2018-05-07,Bachelor of Arts,4,33000, Attending ,,
Langara College,2019-01-01,,,, Never Attended ,,
University of the Fraser Valley,2018-09-01,Early Childhood Education,1,8005, Attending ,,
College of the Rockies,2021-09-07,Carpentry Foundations,1,3347,,,
Nicola Valley Institute of Technology,2018-09-04,Associate of Arts in Criminology,2,5600, Attending ,,
Camosun College,2018-05-07,Foundations Academic Upgrading ,1,, Hiatus , Last attended 04/19 ,
University of Victoria,2018-09-01,Bachelor of Social Work,,, Attending ,,
Langara College,2018-09-04,Bachelor of Science in Nursing,4,18420, Attending ,,
Vancouver Island University,2018-09-04,Bachelor of Tourism Management,4,23000, Hiatus , Withdrew Feb 2021 ,
Douglas College,2021-01-04,Bachelor of Business Administration,4,23966,,,
Douglas College,2021-01-04,Associate of Science,2,12000,,,
Douglas College,2019-09-09,Hearing Instrument Practitioner Diploma,2,16356,,,
Vancouver Island University,1770-07-07,Adult Basic Education,,, Hiatus , Withdrew F20 ,
Douglas College,2021-01-04,General studies Diploma,2,11696,,,
Douglas College,2021-09-06,Bachelor of Arts,4,26730,,,
BCIT,1770-07-07,Bachelor of Arts,,, Never Attended ,,
Douglas College,2020-06-01,Community Mental Health Worker,2,12000, Attending ,,
Kwantlen Polytechnic University,2018-09-01,Arts,4,23500, Hiatus ,,
Kwantlen Polytechnic University,2021-09-01,Education Assistant Certificate ,1,7372, Attending ,,
University of the Fraser Valley,2018-09-05,Bachelor of General Studies,,,,,
Camosun College,2018-09-05,Healthcare Assistant,1,, Hiatus ,,
Okanagan College,1770-07-07,Esthetics and Nail Certificate,,, Completed  ,,
Native Education College,2018-09-04,Health Care Assistant Mental Health Certificate,1,, Completed  ,,
Vancouver Community College,1770-07-07,Administrative Assistant,,,,,
Douglas College,2021-09-07,Diploma,2,15280,,,
College of the Rockies,2018-09-05,Human Services Worker,,, Attending ,,
Thompson Rivers University,2018-09-01,Bachelor of Arts,4,24100, Hiatus ,,
Langara College,2020-01-06,Associate of Arts Psychology,2,9775, Attending ,,
Camosun College,2018-09-04,Associate Degree Arts,2,, Hiatus , Last attended 04/19 ,
Vancouver Island University,2017-09-05,Criminology Diploma,2,12000, Hiatus , Last attended Jan 2020 ,
Douglas College,2021-01-04,Criminology Diploma,2,7080,,,
College of New Caledonia,2018-08-06,,,, Hiatus ,,
Vancouver Island University,1770-07-07,,,, Never Attended , No student record at VIU ,
Langara College,2018-09-05,Diploma Kinesiology,2,9031, Hiatus ,,
Vancouver Island University,2018-01-08,Bachelor of Arts,4,25000, Hiatus , Withdrew Feb 2019 ,
Okanagan College,2020-09-10,Education Assistant Certificate,1,4522, Completed  , Reported as completed Associate of Arts ,
Vancouver Community College,1770-07-07,Counselling Skills,,,,,
Capilano University,1770-07-07,Tourism Management Co-operative Education Diploma,,, Hiatus ,,
Douglas College,2020-09-09,Bachelor of Arts in Child and Youth Care,4,16152,,,
Nicola Valley Institute of Technology,2021-09-08,Associate of Arts,2,7448, Attending ,,
Okanagan College,2018-09-01,Associate of Arts,2,8934, Hiatus , Took to courses in Fall 2018.  Never returned. ,
University of the Fraser Valley,2018-09-10,Powerline Technician Certificate,,, Hiatus ,,
Northern Lights College,2021-09-07,University Transfer/Social Service Worker Dploma,2,7174, Attending , Withdrew ,
Camosun College,2018-08-23,Applied Project Management Certificate (CE),,, Hiatus , Last attended 09/18 ,
Camosun College,2019-09-03,College Prep,,, Hiatus , Last attended 04/20 ,
Vancouver Community College,2019-01-01,Counselling Skills,2,, Completed  ,,
Langara College,2019-09-01,Associate of Arts,2,, Hiatus ,,
Douglas College,1770-07-07,General Studies,,, Hiatus ,,
